date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,h2hWL,h2hWLPct,outcome
2007-06-25,Wimbledon,G,5,G,false,73,F,Roger Federer,1,Switzerland,SUI,1,13,2491,Rafael Nadal,2,Spain,ESP,2,-13,2410,7-6(7) 4-6 7-6(3) 2-6 6-2,8-5,61.5% - 38.5%,
2007-05-28,Roland Garros,G,5,C,false,38,F,Rafael Nadal,2,Spain,ESP,2,22,2381,Roger Federer,1,Switzerland,SUI,1,-21,2504,6-3 4-6 6-3 6-4,8-4,66.7% - 33.3%,
2007-05-14,Hamburg Masters,M,3,C,false,30,F,Roger Federer,1,Switzerland,SUI,1,8,2487,Rafael Nadal,2,Spain,ESP,2,-8,2368,2-6 6-2 6-0,7-4,63.6% - 36.4%,
2007-04-15,Monte Carlo Masters,M,3,C,false,21,F,Rafael Nadal,2,Spain,ESP,2,19,2300,Roger Federer,1,Switzerland,SUI,1,-20,2519,6-4 6-4,7-3,70.0% - 30.0%,
2006-11-13,Masters Cup,F,3,H,true,73,SF,Roger Federer,,Switzerland,SUI,1,5,2524,Rafael Nadal,,Spain,ESP,2,-5,2316,6-4 7-5,6-3,66.7% - 33.3%,
2006-06-26,Wimbledon,G,5,G,false,75,F,Roger Federer,1,Switzerland,SUI,1,12,2483,Rafael Nadal,2,Spain,ESP,2,-12,2405,6-0 7-6(5) 6-7(2) 6-3,6-2,75.0% - 25.0%,
2006-05-29,Roland Garros,G,5,C,false,34,F,Rafael Nadal,2,Spain,ESP,2,21,2382,Roger Federer,1,Switzerland,SUI,1,-21,2487,1-6 6-1 6-4 7-6(4),6-1,85.7% - 14.3%,
2006-05-08,Rome Masters,M,5,C,false,19,F,Rafael Nadal,2,Spain,ESP,2,19,2341,Roger Federer,1,Switzerland,SUI,1,-19,2495,6-7(0) 7-6(5) 6-4 2-6 7-6(5),5-1,83.3% - 16.7%,
2006-04-17,Monte Carlo Masters,M,5,C,false,15,F,Rafael Nadal,2,Spain,ESP,2,21,2296,Roger Federer,1,Switzerland,SUI,1,-21,2509,6-2 6-7(2) 6-3 7-6(5),4-1,80.0% - 20.0%,
2006-02-27,Dubai,A,3,H,false,55,F,Rafael Nadal,2,Spain,ESP,2,17,2286,Roger Federer,1,Switzerland,SUI,1,-17,2501,2-6 6-4 6-4,3-1,75.0% - 25.0%,
2005-05-23,Roland Garros,G,5,C,false,24,SF,Rafael Nadal,4,Spain,ESP,5,23,2229,Roger Federer,1,Switzerland,SUI,1,-23,2462,6-3 4-6 6-4 6-3,2-1,66.7% - 33.3%,
2005-03-21,Miami Masters,M,5,H,false,56,F,Roger Federer,1,Switzerland,SUI,1,3,2459,Rafael Nadal,29,Spain,ESP,31,-4,2101,2-6 6-7(4) 7-6(5) 6-3 6-1,1-1,50.0% - 50.0%,
2004-03-22,Miami Masters,M,3,H,false,52,R32,Rafael Nadal,32,Spain,ESP,34,20,1933,Roger Federer,1,Switzerland,SUI,1,-18,2341,6-3 6-3,1-0,100.0% - 0.0%,
