"VRSTA VOZILA";"OBÈINE";"LETO";Cestna vozila konec leta (31.12.)
"....osebni avtomobili";"Dobrovnik/Dobronak";"2012";625
"....osebni avtomobili";"Dobrovnik/Dobronak";"2013";621
"....osebni avtomobili";"Dobrovnik/Dobronak";"2014";628
"....osebni avtomobili";"Dobrovnik/Dobronak";"2015";614
"....osebni avtomobili";"Dobrovnik/Dobronak";"2016";621
"....osebni avtomobili";"Dobrovnik/Dobronak";"2017";647
"....osebni avtomobili";"Dobrovnik/Dobronak";"2018";682
"....osebni avtomobili";"Dobrovnik/Dobronak";"2019";717
"....osebni avtomobili";"Dol pri Ljubljani";"2010";2908
"....osebni avtomobili";"Dol pri Ljubljani";"2011";2983
"....osebni avtomobili";"Dol pri Ljubljani";"2012";3033
"....osebni avtomobili";"Dol pri Ljubljani";"2013";3044
"....osebni avtomobili";"Dol pri Ljubljani";"2014";3103
"....osebni avtomobili";"Dol pri Ljubljani";"2015";3148
"....osebni avtomobili";"Dol pri Ljubljani";"2016";3208
"....osebni avtomobili";"Dol pri Ljubljani";"2017";3258
"....osebni avtomobili";"Dol pri Ljubljani";"2018";3416
"....osebni avtomobili";"Dol pri Ljubljani";"2019";3527
"....osebni avtomobili";"Dolenjske Toplice";"2010";1791
"....osebni avtomobili";"Dolenjske Toplice";"2011";1821
"....osebni avtomobili";"Dolenjske Toplice";"2012";1815
"....osebni avtomobili";"Dolenjske Toplice";"2013";1810
"....osebni avtomobili";"Dolenjske Toplice";"2014";1840
"....osebni avtomobili";"Dolenjske Toplice";"2015";1869
"....osebni avtomobili";"Dolenjske Toplice";"2016";1886
"....osebni avtomobili";"Dolenjske Toplice";"2017";1949
"....osebni avtomobili";"Dolenjske Toplice";"2018";2033
"....osebni avtomobili";"Dolenjske Toplice";"2019";2074
"....osebni avtomobili";"Domžale";"2010";17965
"....osebni avtomobili";"Domžale";"2011";18119
"....osebni avtomobili";"Domžale";"2012";18175
"....osebni avtomobili";"Domžale";"2013";18194
"....osebni avtomobili";"Domžale";"2014";18397
"....osebni avtomobili";"Domžale";"2015";18583
"....osebni avtomobili";"Domžale";"2016";18757
"....osebni avtomobili";"Domžale";"2017";19147
"....osebni avtomobili";"Domžale";"2018";19657
"....osebni avtomobili";"Domžale";"2019";20100
"....osebni avtomobili";"Dornava";"2010";1309
"....osebni avtomobili";"Dornava";"2011";1343
"....osebni avtomobili";"Dornava";"2012";1348
"....osebni avtomobili";"Dornava";"2013";1361
"....osebni avtomobili";"Dornava";"2014";1392
"....osebni avtomobili";"Dornava";"2015";1361
"....osebni avtomobili";"Dornava";"2016";1395
"....osebni avtomobili";"Dornava";"2017";1475
"....osebni avtomobili";"Dornava";"2018";1492
"....osebni avtomobili";"Dornava";"2019";1535
"....osebni avtomobili";"Dravograd";"2010";4619
"....osebni avtomobili";"Dravograd";"2011";4642
"....osebni avtomobili";"Dravograd";"2012";4659
"....osebni avtomobili";"Dravograd";"2013";4647
"....osebni avtomobili";"Dravograd";"2014";4716
"....osebni avtomobili";"Dravograd";"2015";4682
"....osebni avtomobili";"Dravograd";"2016";4785
"....osebni avtomobili";"Dravograd";"2017";4869
"....osebni avtomobili";"Dravograd";"2018";4933
"....osebni avtomobili";"Dravograd";"2019";5026
"....osebni avtomobili";"Duplek";"2010";3653
"....osebni avtomobili";"Duplek";"2011";3679
"....osebni avtomobili";"Duplek";"2012";3676
"....osebni avtomobili";"Duplek";"2013";3697
"....osebni avtomobili";"Duplek";"2014";3736
"....osebni avtomobili";"Duplek";"2015";3749
"....osebni avtomobili";"Duplek";"2016";3832
"....osebni avtomobili";"Duplek";"2017";3914
"....osebni avtomobili";"Duplek";"2018";4076
"....osebni avtomobili";"Duplek";"2019";4161
"....osebni avtomobili";"Gorenja vas - Poljane";"2010";3878
"....osebni avtomobili";"Gorenja vas - Poljane";"2011";3924
"....osebni avtomobili";"Gorenja vas - Poljane";"2012";3942
"....osebni avtomobili";"Gorenja vas - Poljane";"2013";3976
"....osebni avtomobili";"Gorenja vas - Poljane";"2014";4008
"....osebni avtomobili";"Gorenja vas - Poljane";"2015";4063
"....osebni avtomobili";"Gorenja vas - Poljane";"2016";4149
"....osebni avtomobili";"Gorenja vas - Poljane";"2017";4195
"....osebni avtomobili";"Gorenja vas - Poljane";"2018";4322
"....osebni avtomobili";"Gorenja vas - Poljane";"2019";4404
"....osebni avtomobili";"Gorišnica";"2010";2111
"....osebni avtomobili";"Gorišnica";"2011";2035
"....osebni avtomobili";"Gorišnica";"2012";2022
"....osebni avtomobili";"Gorišnica";"2013";2012
"....osebni avtomobili";"Gorišnica";"2014";2036
"....osebni avtomobili";"Gorišnica";"2015";2036
"....osebni avtomobili";"Gorišnica";"2016";2073
"....osebni avtomobili";"Gorišnica";"2017";2130
"....osebni avtomobili";"Gorišnica";"2018";2209
"....osebni avtomobili";"Gorišnica";"2019";2248
"....osebni avtomobili";"Gorje";"2010";1191
"....osebni avtomobili";"Gorje";"2011";1394
"....osebni avtomobili";"Gorje";"2012";1522
"....osebni avtomobili";"Gorje";"2013";1515
"....osebni avtomobili";"Gorje";"2014";1493
"....osebni avtomobili";"Gorje";"2015";1482
"....osebni avtomobili";"Gorje";"2016";1514
"....osebni avtomobili";"Gorje";"2017";1543
"....osebni avtomobili";"Gorje";"2018";1562
"....osebni avtomobili";"Gorje";"2019";1563
"....osebni avtomobili";"Gornja Radgona";"2010";4933
"....osebni avtomobili";"Gornja Radgona";"2011";4743
"....osebni avtomobili";"Gornja Radgona";"2012";4614
"....osebni avtomobili";"Gornja Radgona";"2013";4509
"....osebni avtomobili";"Gornja Radgona";"2014";4522
"....osebni avtomobili";"Gornja Radgona";"2015";4530
"....osebni avtomobili";"Gornja Radgona";"2016";4603
"....osebni avtomobili";"Gornja Radgona";"2017";4724
"....osebni avtomobili";"Gornja Radgona";"2018";4813
"....osebni avtomobili";"Gornja Radgona";"2019";4892
"....osebni avtomobili";"Gornji Grad";"2010";1252
"....osebni avtomobili";"Gornji Grad";"2011";1278
"....osebni avtomobili";"Gornji Grad";"2012";1290
"....osebni avtomobili";"Gornji Grad";"2013";1260
"....osebni avtomobili";"Gornji Grad";"2014";1272
"....osebni avtomobili";"Gornji Grad";"2015";1288
"....osebni avtomobili";"Gornji Grad";"2016";1280
"....osebni avtomobili";"Gornji Grad";"2017";1310
"....osebni avtomobili";"Gornji Grad";"2018";1366
"....osebni avtomobili";"Gornji Grad";"2019";1363
"....osebni avtomobili";"Gornji Petrovci";"2010";1025
"....osebni avtomobili";"Gornji Petrovci";"2011";1047
"....osebni avtomobili";"Gornji Petrovci";"2012";1082
"....osebni avtomobili";"Gornji Petrovci";"2013";1079
"....osebni avtomobili";"Gornji Petrovci";"2014";1085
"....osebni avtomobili";"Gornji Petrovci";"2015";1091
"....osebni avtomobili";"Gornji Petrovci";"2016";1115
"....osebni avtomobili";"Gornji Petrovci";"2017";1134
"....osebni avtomobili";"Gornji Petrovci";"2018";1139
"....osebni avtomobili";"Gornji Petrovci";"2019";1158
"....osebni avtomobili";"Grad";"2010";1124
"....osebni avtomobili";"Grad";"2011";1127
"....osebni avtomobili";"Grad";"2012";1132
"....osebni avtomobili";"Grad";"2013";1138
"....osebni avtomobili";"Grad";"2014";1144
"....osebni avtomobili";"Grad";"2015";1157
"....osebni avtomobili";"Grad";"2016";1177
"....osebni avtomobili";"Grad";"2017";1186
"....osebni avtomobili";"Grad";"2018";1216
"....osebni avtomobili";"Grad";"2019";1223
"....osebni avtomobili";"Grosuplje";"2010";10164
"....osebni avtomobili";"Grosuplje";"2011";10220
"....osebni avtomobili";"Grosuplje";"2012";10263
"....osebni avtomobili";"Grosuplje";"2013";10288
"....osebni avtomobili";"Grosuplje";"2014";10340
"....osebni avtomobili";"Grosuplje";"2015";10460
"....osebni avtomobili";"Grosuplje";"2016";10605
"....osebni avtomobili";"Grosuplje";"2017";10908
"....osebni avtomobili";"Grosuplje";"2018";11184
"....osebni avtomobili";"Grosuplje";"2019";11480
"....osebni avtomobili";"Hajdina";"2010";2021
"....osebni avtomobili";"Hajdina";"2011";2052
"....osebni avtomobili";"Hajdina";"2012";2049
"....osebni avtomobili";"Hajdina";"2013";2080
"....osebni avtomobili";"Hajdina";"2014";2074
"....osebni avtomobili";"Hajdina";"2015";2076
"....osebni avtomobili";"Hajdina";"2016";2105
"....osebni avtomobili";"Hajdina";"2017";2162
"....osebni avtomobili";"Hajdina";"2018";2236
"....osebni avtomobili";"Hajdina";"2019";2289
"....osebni avtomobili";"Hoèe - Slivnica";"2010";5779
"....osebni avtomobili";"Hoèe - Slivnica";"2011";5818
"....osebni avtomobili";"Hoèe - Slivnica";"2012";5913
"....osebni avtomobili";"Hoèe - Slivnica";"2013";5951
"....osebni avtomobili";"Hoèe - Slivnica";"2014";6018
"....osebni avtomobili";"Hoèe - Slivnica";"2015";6065
"....osebni avtomobili";"Hoèe - Slivnica";"2016";6150
"....osebni avtomobili";"Hoèe - Slivnica";"2017";6290
"....osebni avtomobili";"Hoèe - Slivnica";"2018";6579
"....osebni avtomobili";"Hoèe - Slivnica";"2019";6693
"....osebni avtomobili";"Hodoš/Hodos";"2010";141
"....osebni avtomobili";"Hodoš/Hodos";"2011";148
"....osebni avtomobili";"Hodoš/Hodos";"2012";149
"....osebni avtomobili";"Hodoš/Hodos";"2013";143
"....osebni avtomobili";"Hodoš/Hodos";"2014";145
"....osebni avtomobili";"Hodoš/Hodos";"2015";141
"....osebni avtomobili";"Hodoš/Hodos";"2016";150
"....osebni avtomobili";"Hodoš/Hodos";"2017";152
"....osebni avtomobili";"Hodoš/Hodos";"2018";152
"....osebni avtomobili";"Hodoš/Hodos";"2019";160
"....osebni avtomobili";"Horjul";"2010";1559
"....osebni avtomobili";"Horjul";"2011";1559
"....osebni avtomobili";"Horjul";"2012";1562
"....osebni avtomobili";"Horjul";"2013";1544
"....osebni avtomobili";"Horjul";"2014";1536
"....osebni avtomobili";"Horjul";"2015";1570
"....osebni avtomobili";"Horjul";"2016";1582
"....osebni avtomobili";"Horjul";"2017";1595
"....osebni avtomobili";"Horjul";"2018";1649
"....osebni avtomobili";"Horjul";"2019";1667
"....osebni avtomobili";"Hrastnik";"2010";4499
"....osebni avtomobili";"Hrastnik";"2011";4441
"....osebni avtomobili";"Hrastnik";"2012";4402
"....osebni avtomobili";"Hrastnik";"2013";4334
"....osebni avtomobili";"Hrastnik";"2014";4332
"....osebni avtomobili";"Hrastnik";"2015";4276
"....osebni avtomobili";"Hrastnik";"2016";4367
"....osebni avtomobili";"Hrastnik";"2017";4433
"....osebni avtomobili";"Hrastnik";"2018";4630
"....osebni avtomobili";"Hrastnik";"2019";4702
"....osebni avtomobili";"Hrpelje - Kozina";"2010";2477
"....osebni avtomobili";"Hrpelje - Kozina";"2011";2489
"....osebni avtomobili";"Hrpelje - Kozina";"2012";2538
"....osebni avtomobili";"Hrpelje - Kozina";"2013";2569
"....osebni avtomobili";"Hrpelje - Kozina";"2014";2611
"....osebni avtomobili";"Hrpelje - Kozina";"2015";2685
"....osebni avtomobili";"Hrpelje - Kozina";"2016";2735
"....osebni avtomobili";"Hrpelje - Kozina";"2017";2798
"....osebni avtomobili";"Hrpelje - Kozina";"2018";2866
"....osebni avtomobili";"Hrpelje - Kozina";"2019";2915
"....osebni avtomobili";"Idrija";"2010";6185
"....osebni avtomobili";"Idrija";"2011";6218
"....osebni avtomobili";"Idrija";"2012";6183
"....osebni avtomobili";"Idrija";"2013";6154
"....osebni avtomobili";"Idrija";"2014";6183
"....osebni avtomobili";"Idrija";"2015";6118
"....osebni avtomobili";"Idrija";"2016";6206
"....osebni avtomobili";"Idrija";"2017";6304
"....osebni avtomobili";"Idrija";"2018";6373
"....osebni avtomobili";"Idrija";"2019";6493
"....osebni avtomobili";"Ig";"2010";3591
"....osebni avtomobili";"Ig";"2011";3676
"....osebni avtomobili";"Ig";"2012";3762
"....osebni avtomobili";"Ig";"2013";3715
"....osebni avtomobili";"Ig";"2014";3753
"....osebni avtomobili";"Ig";"2015";3821
"....osebni avtomobili";"Ig";"2016";3805
"....osebni avtomobili";"Ig";"2017";3884
"....osebni avtomobili";"Ig";"2018";3955
"....osebni avtomobili";"Ig";"2019";4066
"....osebni avtomobili";"Ilirska Bistrica";"2010";8027
"....osebni avtomobili";"Ilirska Bistrica";"2011";8124
"....osebni avtomobili";"Ilirska Bistrica";"2012";8157
"....osebni avtomobili";"Ilirska Bistrica";"2013";8128
"....osebni avtomobili";"Ilirska Bistrica";"2014";8089
"....osebni avtomobili";"Ilirska Bistrica";"2015";8082
"....osebni avtomobili";"Ilirska Bistrica";"2016";8152
"....osebni avtomobili";"Ilirska Bistrica";"2017";8274
"....osebni avtomobili";"Ilirska Bistrica";"2018";8475
"....osebni avtomobili";"Ilirska Bistrica";"2019";8605
"....osebni avtomobili";"Ivanèna Gorica";"2010";8272
"....osebni avtomobili";"Ivanèna Gorica";"2011";8375
"....osebni avtomobili";"Ivanèna Gorica";"2012";8510
"....osebni avtomobili";"Ivanèna Gorica";"2013";8597
"....osebni avtomobili";"Ivanèna Gorica";"2014";8732
"....osebni avtomobili";"Ivanèna Gorica";"2015";8935
"....osebni avtomobili";"Ivanèna Gorica";"2016";9152
"....osebni avtomobili";"Ivanèna Gorica";"2017";9362
"....osebni avtomobili";"Ivanèna Gorica";"2018";9661
"....osebni avtomobili";"Ivanèna Gorica";"2019";9856
"....osebni avtomobili";"Izola/Isola";"2010";8490
"....osebni avtomobili";"Izola/Isola";"2011";8446
"....osebni avtomobili";"Izola/Isola";"2012";8395
"....osebni avtomobili";"Izola/Isola";"2013";8379
"....osebni avtomobili";"Izola/Isola";"2014";8324
"....osebni avtomobili";"Izola/Isola";"2015";8314
"....osebni avtomobili";"Izola/Isola";"2016";8399
"....osebni avtomobili";"Izola/Isola";"2017";8492
"....osebni avtomobili";"Izola/Isola";"2018";8788
"....osebni avtomobili";"Izola/Isola";"2019";8968
"....osebni avtomobili";"Jesenice";"2010";9831
"....osebni avtomobili";"Jesenice";"2011";9796
"....osebni avtomobili";"Jesenice";"2012";9782
"....osebni avtomobili";"Jesenice";"2013";9656
"....osebni avtomobili";"Jesenice";"2014";9609
"....osebni avtomobili";"Jesenice";"2015";9616
"....osebni avtomobili";"Jesenice";"2016";9773
"....osebni avtomobili";"Jesenice";"2017";9972
"....osebni avtomobili";"Jesenice";"2018";10363
"....osebni avtomobili";"Jesenice";"2019";10654
"....osebni avtomobili";"Jezersko";"2010";367
"....osebni avtomobili";"Jezersko";"2011";359
"....osebni avtomobili";"Jezersko";"2012";351
"....osebni avtomobili";"Jezersko";"2013";352
"....osebni avtomobili";"Jezersko";"2014";352
"....osebni avtomobili";"Jezersko";"2015";364
"....osebni avtomobili";"Jezersko";"2016";372
"....osebni avtomobili";"Jezersko";"2017";376
"....osebni avtomobili";"Jezersko";"2018";380
"....osebni avtomobili";"Jezersko";"2019";392
"....osebni avtomobili";"Juršinci";"2010";1181
"....osebni avtomobili";"Juršinci";"2011";1197
"....osebni avtomobili";"Juršinci";"2012";1211
"....osebni avtomobili";"Juršinci";"2013";1225
"....osebni avtomobili";"Juršinci";"2014";1223
"....osebni avtomobili";"Juršinci";"2015";1218
"....osebni avtomobili";"Juršinci";"2016";1231
"....osebni avtomobili";"Juršinci";"2017";1272
"....osebni avtomobili";"Juršinci";"2018";1296
"....osebni avtomobili";"Juršinci";"2019";1336
"....osebni avtomobili";"Kamnik";"2010";14806
"....osebni avtomobili";"Kamnik";"2011";14904
"....osebni avtomobili";"Kamnik";"2012";14967
"....osebni avtomobili";"Kamnik";"2013";14924
"....osebni avtomobili";"Kamnik";"2014";14926
"....osebni avtomobili";"Kamnik";"2015";15164
"....osebni avtomobili";"Kamnik";"2016";15410
"....osebni avtomobili";"Kamnik";"2017";15719
"....osebni avtomobili";"Kamnik";"2018";15900
"....osebni avtomobili";"Kamnik";"2019";16272
"....osebni avtomobili";"Kanal";"2010";3284
"....osebni avtomobili";"Kanal";"2011";3300
"....osebni avtomobili";"Kanal";"2012";3260
"....osebni avtomobili";"Kanal";"2013";3250
"....osebni avtomobili";"Kanal";"2014";3212
"....osebni avtomobili";"Kanal";"2015";3192
"....osebni avtomobili";"Kanal";"2016";3202
"....osebni avtomobili";"Kanal";"2017";3257
"....osebni avtomobili";"Kanal";"2018";3330
"....osebni avtomobili";"Kanal";"2019";3390
"....osebni avtomobili";"Kidrièevo";"2010";3331
"....osebni avtomobili";"Kidrièevo";"2011";3412
"....osebni avtomobili";"Kidrièevo";"2012";3399
"....osebni avtomobili";"Kidrièevo";"2013";3414
"....osebni avtomobili";"Kidrièevo";"2014";3437
"....osebni avtomobili";"Kidrièevo";"2015";3477
"....osebni avtomobili";"Kidrièevo";"2016";3540
"....osebni avtomobili";"Kidrièevo";"2017";3606
"....osebni avtomobili";"Kidrièevo";"2018";3739
"....osebni avtomobili";"Kidrièevo";"2019";3763
"....osebni avtomobili";"Kobarid";"2010";2323
"....osebni avtomobili";"Kobarid";"2011";2333
"....osebni avtomobili";"Kobarid";"2012";2332
"....osebni avtomobili";"Kobarid";"2013";2311
"....osebni avtomobili";"Kobarid";"2014";2294
"....osebni avtomobili";"Kobarid";"2015";2282
"....osebni avtomobili";"Kobarid";"2016";2326
"....osebni avtomobili";"Kobarid";"2017";2356
"....osebni avtomobili";"Kobarid";"2018";2475
"....osebni avtomobili";"Kobarid";"2019";2504
"....osebni avtomobili";"Kobilje";"2010";260
"....osebni avtomobili";"Kobilje";"2011";271
"....osebni avtomobili";"Kobilje";"2012";280
"....osebni avtomobili";"Kobilje";"2013";274
"....osebni avtomobili";"Kobilje";"2014";276
"....osebni avtomobili";"Kobilje";"2015";277
"....osebni avtomobili";"Kobilje";"2016";280
"....osebni avtomobili";"Kobilje";"2017";282
"....osebni avtomobili";"Kobilje";"2018";289
"....osebni avtomobili";"Kobilje";"2019";297
"....osebni avtomobili";"Koèevje";"2010";7559
"....osebni avtomobili";"Koèevje";"2011";7580
"....osebni avtomobili";"Koèevje";"2012";7517
"....osebni avtomobili";"Koèevje";"2013";7454
"....osebni avtomobili";"Koèevje";"2014";7480
"....osebni avtomobili";"Koèevje";"2015";7441
"....osebni avtomobili";"Koèevje";"2016";7577
"....osebni avtomobili";"Koèevje";"2017";7736
"....osebni avtomobili";"Koèevje";"2018";7919
"....osebni avtomobili";"Koèevje";"2019";8066
"....osebni avtomobili";"Komen";"2010";2224
"....osebni avtomobili";"Komen";"2011";2260
"....osebni avtomobili";"Komen";"2012";2266
"....osebni avtomobili";"Komen";"2013";2304
"....osebni avtomobili";"Komen";"2014";2320
"....osebni avtomobili";"Komen";"2015";2307
"....osebni avtomobili";"Komen";"2016";2328
"....osebni avtomobili";"Komen";"2017";2414
"....osebni avtomobili";"Komen";"2018";2442
"....osebni avtomobili";"Komen";"2019";2440
"....osebni avtomobili";"Komenda";"2010";3083
"....osebni avtomobili";"Komenda";"2011";3162
"....osebni avtomobili";"Komenda";"2012";3219
"....osebni avtomobili";"Komenda";"2013";3232
"....osebni avtomobili";"Komenda";"2014";3296
"....osebni avtomobili";"Komenda";"2015";3435
"....osebni avtomobili";"Komenda";"2016";3468
"....osebni avtomobili";"Komenda";"2017";3558
"....osebni avtomobili";"Komenda";"2018";3741
"....osebni avtomobili";"Komenda";"2019";3894
"....osebni avtomobili";"Koper/Capodistria";"2010";30296
"....osebni avtomobili";"Koper/Capodistria";"2011";30546
"....osebni avtomobili";"Koper/Capodistria";"2012";30311
"....osebni avtomobili";"Koper/Capodistria";"2013";30343
"....osebni avtomobili";"Koper/Capodistria";"2014";30375
"....osebni avtomobili";"Koper/Capodistria";"2015";28732
"....osebni avtomobili";"Koper/Capodistria";"2016";29159
"....osebni avtomobili";"Koper/Capodistria";"2017";29737
"....osebni avtomobili";"Koper/Capodistria";"2018";30583
"....osebni avtomobili";"Koper/Capodistria";"2019";31025
"....osebni avtomobili";"Kostanjevica na Krki";"2010";1047
"....osebni avtomobili";"Kostanjevica na Krki";"2011";1217
"....osebni avtomobili";"Kostanjevica na Krki";"2012";1347
"....osebni avtomobili";"Kostanjevica na Krki";"2013";1368
"....osebni avtomobili";"Kostanjevica na Krki";"2014";1370
"....osebni avtomobili";"Kostanjevica na Krki";"2015";1389
"....osebni avtomobili";"Kostanjevica na Krki";"2016";1403
"....osebni avtomobili";"Kostanjevica na Krki";"2017";1454
"....osebni avtomobili";"Kostanjevica na Krki";"2018";1497
"....osebni avtomobili";"Kostanjevica na Krki";"2019";1510
"....osebni avtomobili";"Kostel";"2010";309
"....osebni avtomobili";"Kostel";"2011";317
"....osebni avtomobili";"Kostel";"2012";320
"....osebni avtomobili";"Kostel";"2013";327
"....osebni avtomobili";"Kostel";"2014";330
"....osebni avtomobili";"Kostel";"2015";318
"....osebni avtomobili";"Kostel";"2016";333
"....osebni avtomobili";"Kostel";"2017";329
"....osebni avtomobili";"Kostel";"2018";359
"....osebni avtomobili";"Kostel";"2019";353
"....osebni avtomobili";"Kozje";"2010";1657
"....osebni avtomobili";"Kozje";"2011";1671
"....osebni avtomobili";"Kozje";"2012";1674
"....osebni avtomobili";"Kozje";"2013";1685
"....osebni avtomobili";"Kozje";"2014";1663
"....osebni avtomobili";"Kozje";"2015";1666
"....osebni avtomobili";"Kozje";"2016";1718
"....osebni avtomobili";"Kozje";"2017";1747
"....osebni avtomobili";"Kozje";"2018";1803
"....osebni avtomobili";"Kozje";"2019";1839
"....osebni avtomobili";"Kranj";"2010";28471
"....osebni avtomobili";"Kranj";"2011";28637
"....osebni avtomobili";"Kranj";"2012";28350
"....osebni avtomobili";"Kranj";"2013";28147
"....osebni avtomobili";"Kranj";"2014";28273
"....osebni avtomobili";"Kranj";"2015";28761
"....osebni avtomobili";"Kranj";"2016";29202
"....osebni avtomobili";"Kranj";"2017";29833
"....osebni avtomobili";"Kranj";"2018";30064
"....osebni avtomobili";"Kranj";"2019";30574
"....osebni avtomobili";"Kranjska Gora";"2010";2830
"....osebni avtomobili";"Kranjska Gora";"2011";2847
"....osebni avtomobili";"Kranjska Gora";"2012";2828
"....osebni avtomobili";"Kranjska Gora";"2013";2818
"....osebni avtomobili";"Kranjska Gora";"2014";2829
"....osebni avtomobili";"Kranjska Gora";"2015";2799
"....osebni avtomobili";"Kranjska Gora";"2016";2858
"....osebni avtomobili";"Kranjska Gora";"2017";2897
"....osebni avtomobili";"Kranjska Gora";"2018";2973
"....osebni avtomobili";"Kranjska Gora";"2019";3004
"....osebni avtomobili";"Križevci";"2010";1761
"....osebni avtomobili";"Križevci";"2011";1790
"....osebni avtomobili";"Križevci";"2012";1802
"....osebni avtomobili";"Križevci";"2013";1775
"....osebni avtomobili";"Križevci";"2014";1817
"....osebni avtomobili";"Križevci";"2015";1804
"....osebni avtomobili";"Križevci";"2016";1863
"....osebni avtomobili";"Križevci";"2017";1891
"....osebni avtomobili";"Križevci";"2018";1939
"....osebni avtomobili";"Križevci";"2019";1974
"....osebni avtomobili";"Krško";"2010";14034
"....osebni avtomobili";"Krško";"2011";13920
"....osebni avtomobili";"Krško";"2012";13833
"....osebni avtomobili";"Krško";"2013";13831
"....osebni avtomobili";"Krško";"2014";13912
"....osebni avtomobili";"Krško";"2015";13995
"....osebni avtomobili";"Krško";"2016";14289
"....osebni avtomobili";"Krško";"2017";14631
"....osebni avtomobili";"Krško";"2018";15054
"....osebni avtomobili";"Krško";"2019";15365
"....osebni avtomobili";"Kungota";"2010";2438
"....osebni avtomobili";"Kungota";"2011";2488
"....osebni avtomobili";"Kungota";"2012";2498
"....osebni avtomobili";"Kungota";"2013";2541
"....osebni avtomobili";"Kungota";"2014";2552
"....osebni avtomobili";"Kungota";"2015";2575
"....osebni avtomobili";"Kungota";"2016";2597
"....osebni avtomobili";"Kungota";"2017";2646
"....osebni avtomobili";"Kungota";"2018";2688
"....osebni avtomobili";"Kungota";"2019";2729
"....osebni avtomobili";"Kuzma";"2010";776
"....osebni avtomobili";"Kuzma";"2011";793
"....osebni avtomobili";"Kuzma";"2012";800
"....osebni avtomobili";"Kuzma";"2013";815
"....osebni avtomobili";"Kuzma";"2014";819
"....osebni avtomobili";"Kuzma";"2015";810
"....osebni avtomobili";"Kuzma";"2016";817
"....osebni avtomobili";"Kuzma";"2017";836
"....osebni avtomobili";"Kuzma";"2018";883
"....osebni avtomobili";"Kuzma";"2019";892
"....osebni avtomobili";"Laško";"2010";6946
"....osebni avtomobili";"Laško";"2011";6987
"....osebni avtomobili";"Laško";"2012";6934
"....osebni avtomobili";"Laško";"2013";6934
"....osebni avtomobili";"Laško";"2014";6933
"....osebni avtomobili";"Laško";"2015";6850
"....osebni avtomobili";"Laško";"2016";6995
"....osebni avtomobili";"Laško";"2017";7078
"....osebni avtomobili";"Laško";"2018";7192
"....osebni avtomobili";"Laško";"2019";7383
"....osebni avtomobili";"Lenart";"2010";4278
"....osebni avtomobili";"Lenart";"2011";4131
"....osebni avtomobili";"Lenart";"2012";4060
"....osebni avtomobili";"Lenart";"2013";4069
"....osebni avtomobili";"Lenart";"2014";4095
"....osebni avtomobili";"Lenart";"2015";4241
"....osebni avtomobili";"Lenart";"2016";4307
"....osebni avtomobili";"Lenart";"2017";4416
"....osebni avtomobili";"Lenart";"2018";4529
"....osebni avtomobili";"Lenart";"2019";4647
"....osebni avtomobili";"Lendava/Lendva";"2010";5404
"....osebni avtomobili";"Lendava/Lendva";"2011";5407
"....osebni avtomobili";"Lendava/Lendva";"2012";5401
"....osebni avtomobili";"Lendava/Lendva";"2013";5342
"....osebni avtomobili";"Lendava/Lendva";"2014";5349
"....osebni avtomobili";"Lendava/Lendva";"2015";5333
"....osebni avtomobili";"Lendava/Lendva";"2016";5386
"....osebni avtomobili";"Lendava/Lendva";"2017";5495
"....osebni avtomobili";"Lendava/Lendva";"2018";5654
"....osebni avtomobili";"Lendava/Lendva";"2019";5787
"....osebni avtomobili";"Litija";"2010";7424
"....osebni avtomobili";"Litija";"2011";7454
"....osebni avtomobili";"Litija";"2012";7493
"....osebni avtomobili";"Litija";"2013";7551
"....osebni avtomobili";"Litija";"2014";7611
"....osebni avtomobili";"Litija";"2015";7692
"....osebni avtomobili";"Litija";"2016";7815
"....osebni avtomobili";"Litija";"2017";7987
"....osebni avtomobili";"Litija";"2018";8205
"....osebni avtomobili";"Litija";"2019";8396
"....osebni avtomobili";"Ljubljana";"2010";145542
"....osebni avtomobili";"Ljubljana";"2011";144186
"....osebni avtomobili";"Ljubljana";"2012";143243
"....osebni avtomobili";"Ljubljana";"2013";141933
"....osebni avtomobili";"Ljubljana";"2014";141362
"....osebni avtomobili";"Ljubljana";"2015";145227
"....osebni avtomobili";"Ljubljana";"2016";147738
"....osebni avtomobili";"Ljubljana";"2017";150715
"....osebni avtomobili";"Ljubljana";"2018";150439
"....osebni avtomobili";"Ljubljana";"2019";153363
"....osebni avtomobili";"Ljubno";"2010";1333
"....osebni avtomobili";"Ljubno";"2011";1344
"....osebni avtomobili";"Ljubno";"2012";1354
"....osebni avtomobili";"Ljubno";"2013";1360
"....osebni avtomobili";"Ljubno";"2014";1385
"....osebni avtomobili";"Ljubno";"2015";1386
"....osebni avtomobili";"Ljubno";"2016";1418
"....osebni avtomobili";"Ljubno";"2017";1417
"....osebni avtomobili";"Ljubno";"2018";1454
"....osebni avtomobili";"Ljubno";"2019";1470
"....osebni avtomobili";"Ljutomer";"2010";5707
"....osebni avtomobili";"Ljutomer";"2011";5754
"....osebni avtomobili";"Ljutomer";"2012";5731
"....osebni avtomobili";"Ljutomer";"2013";5673
"....osebni avtomobili";"Ljutomer";"2014";5738
"....osebni avtomobili";"Ljutomer";"2015";5775
"....osebni avtomobili";"Ljutomer";"2016";5914
"....osebni avtomobili";"Ljutomer";"2017";6048
