"VRSTA VOZILA";"OBÈINE";"LETO";Cestna vozila konec leta (31.12.)
"Vozila - SKUPAJ";"Bohinj";"2012";3514
"Vozila - SKUPAJ";"Bohinj";"2013";3547
"Vozila - SKUPAJ";"Bohinj";"2014";3603
"Vozila - SKUPAJ";"Bohinj";"2015";3622
"Vozila - SKUPAJ";"Bohinj";"2016";3698
"Vozila - SKUPAJ";"Bohinj";"2017";3811
"Vozila - SKUPAJ";"Bohinj";"2018";3965
"Vozila - SKUPAJ";"Bohinj";"2019";4065
"Vozila - SKUPAJ";"Borovnica";"2010";2521
"Vozila - SKUPAJ";"Borovnica";"2011";2539
"Vozila - SKUPAJ";"Borovnica";"2012";2533
"Vozila - SKUPAJ";"Borovnica";"2013";2620
"Vozila - SKUPAJ";"Borovnica";"2014";2663
"Vozila - SKUPAJ";"Borovnica";"2015";2744
"Vozila - SKUPAJ";"Borovnica";"2016";2790
"Vozila - SKUPAJ";"Borovnica";"2017";2932
"Vozila - SKUPAJ";"Borovnica";"2018";3069
"Vozila - SKUPAJ";"Borovnica";"2019";3169
"Vozila - SKUPAJ";"Bovec";"2010";1879
"Vozila - SKUPAJ";"Bovec";"2011";1909
"Vozila - SKUPAJ";"Bovec";"2012";1915
"Vozila - SKUPAJ";"Bovec";"2013";1944
"Vozila - SKUPAJ";"Bovec";"2014";1957
"Vozila - SKUPAJ";"Bovec";"2015";1963
"Vozila - SKUPAJ";"Bovec";"2016";2001
"Vozila - SKUPAJ";"Bovec";"2017";2068
"Vozila - SKUPAJ";"Bovec";"2018";2154
"Vozila - SKUPAJ";"Bovec";"2019";2200
"Vozila - SKUPAJ";"Braslovèe";"2010";3856
"Vozila - SKUPAJ";"Braslovèe";"2011";3943
"Vozila - SKUPAJ";"Braslovèe";"2012";3980
"Vozila - SKUPAJ";"Braslovèe";"2013";4024
"Vozila - SKUPAJ";"Braslovèe";"2014";4059
"Vozila - SKUPAJ";"Braslovèe";"2015";4128
"Vozila - SKUPAJ";"Braslovèe";"2016";4266
"Vozila - SKUPAJ";"Braslovèe";"2017";4495
"Vozila - SKUPAJ";"Braslovèe";"2018";4618
"Vozila - SKUPAJ";"Braslovèe";"2019";4752
"Vozila - SKUPAJ";"Brda";"2010";5391
"Vozila - SKUPAJ";"Brda";"2011";5346
"Vozila - SKUPAJ";"Brda";"2012";5314
"Vozila - SKUPAJ";"Brda";"2013";5336
"Vozila - SKUPAJ";"Brda";"2014";5365
"Vozila - SKUPAJ";"Brda";"2015";5359
"Vozila - SKUPAJ";"Brda";"2016";5487
"Vozila - SKUPAJ";"Brda";"2017";5650
"Vozila - SKUPAJ";"Brda";"2018";5816
"Vozila - SKUPAJ";"Brda";"2019";5888
"Vozila - SKUPAJ";"Brezovica";"2010";7560
