date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,h2hWL,h2hWLPct,outcome,loser_entry
2012-08-12,Cincinnati Masters,M,3,H,false,61,F,Roger Federer,1,Switzerland,SUI,1,12,2463,Novak Djokovic,2,Serbia,SRB,2,-12,2455,6-0 7-6(7),12-16,42.9% - 57.1%,,
2012-06-25,Wimbledon,G,5,G,false,80,SF,Roger Federer,3,Switzerland,SUI,3,16,2437,Novak Djokovic,1,Serbia,SRB,1,-16,2469,6-3 3-6 6-4 6-3,12-15,44.4% - 55.6%,,
2012-05-27,Roland Garros,G,5,C,false,40,SF,Novak Djokovic,1,Serbia,SRB,1,14,2464,Roger Federer,3,Switzerland,SUI,3,-14,2457,6-4 7-5 6-3,12-14,46.2% - 53.8%,,
2012-05-13,Rome Masters,M,3,C,false,32,SF,Novak Djokovic,1,Serbia,SRB,1,11,2458,Roger Federer,3,Switzerland,SUI,2,-12,2458,6-2 7-6(4),11-14,44.0% - 56.0%,,
2011-08-29,US Open,G,5,H,false,49,SF,Novak Djokovic,1,Serbia,SRB,1,9,2500,Roger Federer,3,Switzerland,SUI,3,-9,2370,6-7(7) 4-6 6-3 6-2 7-5,10-14,41.7% - 58.3%,,
2011-05-22,Roland Garros,G,5,C,false,46,SF,Roger Federer,3,Switzerland,SUI,3,18,2385,Novak Djokovic,2,Serbia,SRB,2,-18,2491,7-6(5) 6-3 3-6 7-6(5),9-14,39.1% - 60.9%,,
2011-03-10,Indian Wells Masters,M,3,H,false,54,SF,Novak Djokovic,3,Serbia,SRB,3,12,2391,Roger Federer,2,Switzerland,SUI,2,-12,2412,6-3 3-6 6-2,9-13,40.9% - 59.1%,,
2011-02-21,Dubai,A,3,H,false,60,F,Novak Djokovic,2,Serbia,SRB,3,13,2370,Roger Federer,1,Switzerland,SUI,2,-12,2417,6-3 6-3,8-13,38.1% - 61.9%,,
2011-01-17,Australian Open,G,5,H,false,55,SF,Novak Djokovic,3,Serbia,SRB,3,18,2329,Roger Federer,2,Switzerland,SUI,2,-19,2432,7-6(3) 7-5 6-4,7-13,35.0% - 65.0%,,
2010-11-21,Tour Finals,F,3,H,true,90,SF,Roger Federer,,Switzerland,SUI,2,9,2388,Novak Djokovic,,Serbia,SRB,3,-9,2306,6-1 6-4,6-13,31.6% - 68.4%,,
2010-11-01,Basel,A,3,H,true,74,F,Roger Federer,1,Switzerland,SUI,2,10,2367,Novak Djokovic,2,Serbia,SRB,3,-9,2326,6-4 3-6 6-1,6-12,33.3% - 66.7%,,
2010-10-10,Shanghai Masters,M,3,H,false,62,SF,Roger Federer,3,Switzerland,SUI,3,10,2354,Novak Djokovic,2,Serbia,SRB,2,-10,2328,7-5 6-4,6-11,35.3% - 64.7%,,
2010-08-30,US Open,G,5,H,false,65,SF,Novak Djokovic,3,Serbia,SRB,3,17,2292,Roger Federer,2,Switzerland,SUI,2,-17,2360,5-7 6-1 5-7 6-2 7-5,6-10,37.5% - 62.5%,,
2010-08-09,Canada Masters,M,3,H,false,68,SF,Roger Federer,3,Switzerland,SUI,3,9,2329,Novak Djokovic,2,Serbia,SRB,2,-9,2279,6-1 3-6 7-5,5-10,33.3% - 66.7%,,
2009-11-02,Basel,A,3,H,true,85,F,Novak Djokovic,2,Serbia,SRB,3,14,2317,Roger Federer,1,Switzerland,SUI,1,-15,2436,6-4 4-6 6-2,5-9,35.7% - 64.3%,,
2009-08-31,US Open,G,5,H,false,56,SF,Roger Federer,1,Switzerland,SUI,1,9,2445,Novak Djokovic,4,Serbia,SRB,4,-9,2302,7-6(3) 7-5 7-5,4-9,30.8% - 69.2%,,
2009-08-16,Cincinnati Masters,M,3,H,false,85,F,Roger Federer,1,Switzerland,SUI,1,8,2426,Novak Djokovic,4,Serbia,SRB,4,-8,2289,6-1 7-5,4-8,33.3% - 66.7%,,
2009-04-27,Rome Masters,M,3,C,false,33,SF,Novak Djokovic,3,Serbia,SRB,3,13,2290,Roger Federer,2,Switzerland,SUI,2,-13,2351,4-6 6-3 6-3,4-7,36.4% - 63.6%,,
2009-03-25,Miami Masters,M,3,H,false,53,SF,Novak Djokovic,3,Serbia,SRB,3,14,2263,Roger Federer,2,Switzerland,SUI,2,-14,2373,3-6 6-2 6-3,3-7,30.0% - 70.0%,,
2008-08-25,US Open,G,5,H,false,64,SF,Roger Federer,2,Switzerland,SUI,2,12,2371,Novak Djokovic,3,Serbia,SRB,3,-12,2309,6-3 5-7 7-5 6-2,2-7,22.2% - 77.8%,,
2008-04-20,Monte Carlo Masters,M,3,C,false,20,SF,Roger Federer,1,Switzerland,SUI,1,6,2435,Novak Djokovic,3,Serbia,SRB,3,-7,2275,6-3 3-2 RET,2-6,25.0% - 75.0%,RET,
2008-01-14,Australian Open,G,5,H,false,53,SF,Novak Djokovic,3,Serbia,SRB,3,23,2246,Roger Federer,1,Switzerland,SUI,1,-23,2490,7-5 6-3 7-6(5),2-5,28.6% - 71.4%,,
2007-08-27,US Open,G,5,H,false,59,F,Roger Federer,1,Switzerland,SUI,1,6,2506,Novak Djokovic,3,Serbia,SRB,3,-7,2272,7-6(4) 7-6(2) 6-4,1-5,16.7% - 83.3%,,
2007-08-05,Canada Masters,M,3,H,false,67,F,Novak Djokovic,3,Serbia,SRB,4,21,2229,Roger Federer,1,Switzerland,SUI,1,-20,2508,7-6(2) 2-6 7-6(2),1-4,20.0% - 80.0%,,
2007-02-26,Dubai,A,3,H,false,65,QF,Roger Federer,1,Switzerland,SUI,1,1,2545,Novak Djokovic,7,Serbia,SRB,14,-2,2090,6-3 6-7(6) 6-3,0-4,0.0% - 100.0%,,
2007-01-15,Australian Open,G,5,H,false,55,R16,Roger Federer,1,Switzerland,SUI,1,2,2533,Novak Djokovic,14,Serbia,SRB,15,-2,2087,6-2 7-5 6-3,0-3,0.0% - 100.0%,,
2006-09-22,Davis Cup WG,D,5,H,false,,RR,Roger Federer,,Switzerland,SUI,1,1,2499,Novak Djokovic,,Serbia,SRB,21,-2,2031,6-3 6-2 6-3,0-2,0.0% - 100.0%,,
